flow_type,producer_app_id,producer_app_name,producer_neighborhood,producer_queue_manager,producer_queue_name,producer_queue_type,transmit_queue_name,channel_name,consumer_app_id,consumer_app_name,consumer_neighborhood,consumer_queue_manager,consumer_queue_name,consumer_queue_type
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL31,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL31,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL32,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL32,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL33,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL33,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL34,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL34,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL35,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL35,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL36,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL36,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL37,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL37,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL38,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL38,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL39,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL39,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL40,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL40,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL41,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL41,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL42,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL42,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL43,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL43,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL44,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL44,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL45,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL45,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL46,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL46,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.WUTQE.XL47,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.WUTQE.XL47,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6ER0C,LIY.JUUD.XL21,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6ER0C,LIY.JUUD.XL21,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6ER0C,LIY.JUUD.XL22,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6ER0C,LIY.JUUD.XL22,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6ER0C,LIY.JUUD.XL23,Local,,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6EEBDJ,LIY.JUUD.XL23,Local
Remote,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.XR21,Remote,WL6ER0C.XMIT,WL6EEBDJ.WL6ER0C,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6ER0C,LIY.JUUD.XL21,Local
Remote,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.XR22,Remote,WL6ER0C.XMIT,WL6EEBDJ.WL6ER0C,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6ER0C,LIY.JUUD.XL22,Local
Remote,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.JUUD.XR23,Remote,WL6ER0C.XMIT,WL6EEBDJ.WL6ER0C,JUUD/C9,LCU-Juudoflf Tiebollfipcgc,"Core Banking, Mainframe",WL6ER0C,LIY.JUUD.XL23,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.GC.JOPPIKT.XL21,Local,,APUMN/GC,ArcxsIlfsZyuMogzcypdcdok,"Core Banking, Mainframe",WL6EEBDJ,LIY.GC.JOPPIKT.XL21,Local
Local,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6ER2C,LIY.GC.YEUZOGZS.XL21,Local,,APUMN/GC,ArcxsIlfsZyuMogzcypdcdok,"Core Banking, Mainframe",WL6ER2C,LIY.GC.YEUZOGZS.XL21,Local
Remote,LIY/KW,Lnvoriywf1 Pnhyrfhhvvn Datohhbgr Hdosnbzhehtkyn,Data & Analytics,WL6EEBDJ,LIY.GC.YEUZOGZS.XR21,Remote,WL6ER2C.XMIT,WL6EEBDJ.WL6ER2C,APUMN/GC,ArcxsIlfsZyuMogzcypdcdok,"Core Banking, Mainframe",WL6ER2C,LIY.GC.YEUZOGZS.XL21,Local
Remote,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.HMR.LCKD.XR21,Remote,WL6ES3C.XMIT,WQ22.WL6ES3C,HMR/QX,Tundi-Jhcxnxs Pnvortjhvvnu hnf Lvgxtl,"Core Banking, Mainframe",WL6ES3C,W2M.HMR.LCKD,Local
Remote,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.QX.WRQN.WQ22.IRQUEK.XR21,Remote,VX.WRQN.WQ22.AO.uoiyx.XX21.XMIT,WQ22.WUZ03,HMR/QX,Tundi-Jhcxnxs Pnvortjhvvnu hnf Lvgxtl,"Core Banking, Mainframe",WUZ03,VX.QX.IRQUEK,Local
Remote,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.QX.WRQN.WQ22.IRQUEK.XR22,Remote,VX.WRQN.WQ22.AO.uoiyx.XX21.XMIT,WQ22.WLZ03,HMR/QX,Tundi-Jhcxnxs Pnvortjhvvnu hnf Lvgxtl,"Core Banking, Mainframe",WLZ03,VX.QX.ZAEXAV.LSOSNUVIAK,Local
Remote,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.QX.WRQN.WQ22.IRQUEK.XR23,Remote,VX.WRQN.WQ22.AO.wlhx.XX21.XMIT,WQ22.WLZ03,HMR/QX,Tundi-Jhcxnxs Pnvortjhvvnu hnf Lvgxtl,"Core Banking, Mainframe",WLZ03,VX.QX.ZAEXAV.LSOSNUVIAK,Local
Remote,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.QX.WRQN.WQ22.IRQUEK.XR24,Remote,VX.WRQN.WQ22.AO.wlhx.XX21.XMIT,WQ22.WQ21,HMR/QX,Tundi-Jhcxnxs Pnvortjhvvnu hnf Lvgxtl,"Core Banking, Mainframe",WQ21,QX.VX.ZAEXAV.HMRSNUVIAK,Local
Local,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.TH.WRQN.WQ22.HLN.YSRC.XL21,Local,,LDCHH/TH,Lnvoriywf1 Tevkdtao Oud,Data & Analytics,WQ22,RO.TH.WRQN.WQ22.HLN.YSRC.XL21,Local
Local,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ31,RO.ZN.WRQN.TJR1.LCRB.JHI.UOVSFRZ.ZQN01,Local,,ZN,Joowugphl Iapuign Wetpoktoaje Arcmkbuu Zyudef,Mainframe,WQ31,RO.ZN.WRQN.TJR1.LCRB.JHI.UOVSFRZ.ZQN01,Local
Local,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.ZN.WRQN.WQ22.LCRB.JHI.UOVSFRZ.XL21,Local,,ZN,Joowugphl Iapuign Wetpoktoaje Arcmkbuu Zyudef,Mainframe,WQ22,RO.ZN.WRQN.WQ22.LCRB.JHI.UOVSFRZ.XL21,Local
Local,RO,LNVOR JUUD WRQPIEL YEH-TF,Mainframe,WQ22,RO.ZN.WRQN.WQ22.YSRC.XL21,Local,,ZN,Joowugphl Iapuign Wetpoktoaje Arcmkbuu Zyudef,Mainframe,WQ22,RO.ZN.WRQN.WQ22.YSRC.XL21,Local
